"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","2016",,"849","849","       135","        76","       38","        10","         3","       120","        41","       142","        15","-3","7","6.7","2.26","95","5735",,,"5735",,,,,,,,,,,"37.62",,"33.3","50.8","59.9","41.8",,,,,,,,
"USC00200230","ANN ARBOR U OF MICH, MI US","2016",,"1049","1049","       165","        85","       54","        20","         1","       121","        38","       155","        22","-1","9","9.2","2.51","95","5393","75",,"5393","83",,"28",,"28",,"50",,"55",,"36.56",,"64.7","52.4","61.9","42.8",,,,,,,,
"USC00205488","MILLINGTON 3 SE, MI US","2016",,,,"       121","        70","       54","        19",,,,,,,"9","7.6","3.13",,,,,,,,,,,,,,,,"38.68",,"67.7",,,,,,,,,,,
"USC00203744","HERMAN, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIGT0021","KINGSLEY 2.7 ENE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.21",,,,,,,,,,,,,
"US1MIBZ0001","BENZONIA 5.3 S, MI US","2016",,,,"       181","        99",,,,,,,,,,,"1.47",,,,,,,,,,,,,,,,"35.01",,,,,,,,,,,,,
"USC00204161","JACOBSVILLE, MI US","2016",,"156","156","       191","        97","      133","        45","        17","       182","        81","        89","         0","-20","22","10.0","3.40","89","8546",,,"8546",,,,,,,,,,,"42.13",,"136.3","41.6","51.3","31.9",,,,,,,,
"USC00207312","SALINE 4 SW, MI US","2016",,"855","855","       133","        80",,,"         5","       124","        33","       149","        18","-3",,,"2.35","95","5164",,,"5164",,,,,,,,,,,"35.52",,,"51.2","61.9","40.6",,,,,,,,
"USC00203078","GARDEN CORNERS, MI US","2016",,"280","280","       168","        83",,,"        16","       174","        62","       113","         2","-22",,,"2.39","94","7727",,,"7727",,,,,,,,,,,"34.84",,,"44.1","54.0","34.1",,,,"        90",,,,"44.1"
"USC00206583","PICKFORD 3 NE, MI US","2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
