"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USW00054810","CHATHAM 1 SE, MI US","46.3345","-86.92","266.7","2013",,"201","201","       187","       104",,,"        31","       197","        99","        82","         2","-17",,,"1.29","91","9080",,,"9080",,,,,,,,,,,"37.69",,"39.0","48.1","29.9",,,,,,,
"USW00054813","MUNSING LAKESHORE, MI US","46.412036","-86.650452","186.5","2013",,,,,,,,,,,,,,,,,,"8234",,,"8234",,,,,,,,,,,,,,,,,,,,,,
"USC00204104","IRONWOOD, MI US","46.4656","-90.1892","435.9","2013",,"248","248","       187","       116",,,"        52","       203","       121","        95","         1","-22",,,"2.42","92","9643",,,"9643",,,,,,,,,,,"53.37",,"37.7","47.4","28.0",,,,,,,
"USC00205434","MIDLAND, MI US","43.6088","-84.2011","195.1","2013",,"564","564","       131","        76",,,"         1","       146","        68","       129","         7","-2",,,"1.56","96","6589",,,"6589",,,,,,,,,,,"37.20",,"46.7","55.2","38.3",,,,,,,
"USC00208706","WATTON 2 WSW, MI US","46.52664","-88.64243","424.9","2013",,"203","203","       192","        86",,,"        33","       209","       112","        81","         0","-17",,,"1.10","88","9612",,,"9612",,,,,,,,,,,"33.28",,"37.5","46.6","28.4",,,,,,,
"USC00203930","HOUGHTON LAKE 2 NW, MI US","44.3122","-84.7747","353.9","2013",,,,,,,,,,,,,,,,,,"7947",,,"7947",,,,,,,,,,,,,,,,,,,,,,
"US1MIKN0056","GRAND RAPIDS 5.5 NNE, MI US","43.0309985","-85.6126616","220.1","2013",,,,"       159","        98",,,,,,,,,,,"2.24",,,,,,,,,,,,,,,,"39.99",,,,,,,,,,,
"USC00207188","RUDYARD 5 SE, MI US","46.19076","-84.50852","203.3","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1MIOT0001","GAYLORD 2.2 SE, MI US","44.997831","-84.653117","402.0","2013",,,,"       191","       115","      156","        66",,,,,,,"23","8.2","2.43",,,,,,,,,,,,,,,,"40.56","185.3",,,,,,,,,,
"USC00203628","HARRISVILLE 2 NNE, MI US","44.6819","-83.2808","178.3","2013",,"276","276","       152","        68","      111","        19","         5","       153","        67","        80","         4","-4","14","6.2","2.55","97","7608",,,"7608",,,,,,,,,,,"30.50","57.2","43.6","51.1","36.0",,,,,,,
"US1MIOD0003","LUZERNE 2.4 NE, MI US","44.6414","-84.2383","344.1","2013",,,,"       145","        76",,,,,,,,,,,"1.74",,,,,,,,,,,,,,,,"33.39",,,,,,,,,,,
"USW00014804","MOUNT CLEMENS ANG BASE, MI US","42.6083","-82.8183","176.8","2013",,"622","622","       127","        70","       40","        12","         1","       134","        55","       128","         7","0","7","5.5","2.09","97","6438",,,"6438",,,,,,,,,,,"37.63","38.1","48.1","56.6","39.6",,,,,,,
"USC00200230","ANN ARBOR U OF MICH, MI US","42.29806","-83.66388","247.8","2013",,"758","758","       178","        81",,,"         1","       143","        50","       146","         9","-3",,,"1.83","94","6172","77",,"6172","81",,"27",,"28",,"49",,"53",,"39.45",,"49.2","58.1","40.4",,,,,,,
"USC00207308","SALINE WWTP, MI US","42.1611","-83.7819","228.6","2013",,"480","480","       135","        74",,,"         6","       168","        54","       140","         7","-10",,,"1.66","94","6904",,,"6904",,,,,,,,,,,"35.29",,"46.9","58.1","35.7",,,,,,,
"US1MIWS0003","PLYMOUTH 5.4 W, MI US","42.382785","-83.571244","266.4","2013",,,,"       136","        73",,,,,,,,,,,"2.04",,,,,,,,,,,,,,,,"40.35",,,,,,,,,,,
"USC00205488","MILLINGTON 3 SE, MI US","43.2836","-83.4791","249.9","2013",,,,"       115","        78",,,,,,,,,,,"1.40",,,,,,,,,,,,,,,,"36.32",,,,,,,,,,,
"USC00203744","HERMAN, MI US","46.6653","-88.3772","523.3","2013",,,,"       209","       107","      189","        89",,,,,,,"50","15.9","1.61",,,,,,,,,,,,,,,,"43.38","315.1",,,,,,,,,,
"USC00204161","JACOBSVILLE, MI US","47.0083","-88.4318","198.1","2013",,"173","173","       189","        89","      161","        54","        29","       209","       106","        81","         3","-11","31","7.6","1.49","90","9164",,,"9164",,,,,,,,,,,"37.63","179.4","38.2","47.7","28.5",,,,,,,
"USC00207312","SALINE 4 SW, MI US","42.1236","-83.8199","256.0","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39.89",,,,,,,,,,,
"USC00203078","GARDEN CORNERS, MI US","45.8983","-86.5485","178.9","2013",,"228","228","       160","        82",,,"        35","       189","        87","        98","         0","-17",,,"3.86","89","8644",,,"8644",,,,,,,,,,,"39.78",,"40.2","50.7","29.8",,,"        22",,,,"44.1"
"USC00200361","AUBURN 2 NE, MI US","43.6252","-84.0188","184.4","2013",,"421","421",,,,,"        17","       169","        58","       129","        10","-10",,,,"96",,,,,,,,,,,,,,,"36.78",,"45.2","56.2","34.2",,,,,,,
"US1MIWS0007","ANN ARBOR 3.1 SE, MI US","42.239144","-83.69582","251.5","2013",,,,"       136","        62","       53","         9",,,,,,,"6","4.7","2.48",,,,,,,,,,,,,,,,"36.09","27.2",,,,,,,,,,
"USC00206220","ONTONAGON 6 SE, MI US","46.8343","-89.2074","240.8","2013",,"355","355","       160","       105",,,"        27","       183","        90","       118","         6","-18",,,"1.50","95","8513",,,"8513",,,,,,,,,,,"38.51",,"41.5","51.5","31.5",,,,,,,
"USC00206583","PICKFORD 3 NE, MI US","46.1863","-84.3238","191.7","2013",,"255","255","       178","        90","      147","        59","        39","       198","        83","       119","         3","-28","19","8.0","2.42","93","8486",,,"8486",,,,,,,,,,,"46.78","126.4","40.8","52.0","29.7",,,,,,,
"USW00014814","ALPENA WASTEWATER PLANT, MI US","45.0605","-83.428","179.8","2013",,"335","335","       212","        84","      109","        28","         5","       159","        77","        91","         4","-7","19","8.0","1.22","96","7782",,,"7782",,,,,,,,,,,"33.11","71.5","43.5","50.9","36.1",,,,,,,
"USC00202308","DUNDEE, MI US","41.9552","-83.6488","201.2","2013",,"690","690","       123","        75",,,"         2","       143","        58","       140","         9","-1",,,"1.61","93","6359",,,"6359",,,,,,,,,,,"39.09",,"48.4","57.4","39.5",,,,,,,
"USC00203518","GWINN SHAG LAKE, MI US","46.2643","-87.5149","359.1","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00203639","HARVEY, MI US","46.4907","-87.3544","195.1","2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30.80",,,,,,,,,,,
"USC00205816","NEWBERRY CORRECTIONAL FACILITY, MI US","46.3287","-85.5033","270.1","2013",,"238","238",,,,,"        21","       177","       101","        97","         3","-19",,,,"93","8504",,,"8504",,,,,,,,,,,"41.34",,"40.5","49.4","31.7",,,,,,,
"USC00200925","BOYNE FALLS, MI US","45.1672","-84.9138","221.9","2013",,"626","626","       171","       117","      134","        59","        13","       171","        78","       140","        24","-17","18","8.0","2.05","97","7380",,,"7380",,,,,,,,,,,"48.71","163.2","45.2","55.2","35.3",,,,,,,
"USW00014815","BATTLE CREEK KELLOGG AIRPORT, MI US","42.31192","-85.24147","282.5","2013","8.5","665","665","       123","        71",,,"         3","       144","        62","       139","         7","-7",,,"2.02","94","6472",,,"6472",,,,,,,,,,,"34.95",,"48.1","56.7","39.4","       260","       260",,,"49.0","70.0",
"US1MIKN0031","BYRON CENTER 2.9 NE, MI US","42.841573","-85.683517","217.6","2013",,,,"       158","       105",,,,,,,,,,,"4.81",,,,,,,,,,,,,,,,"53.78",,,,,,,,,,,
"USC00203632","HART 3 WSW, MI US","43.6751","-86.4228","236.2","2013",,"413","413","       170","       104","      102","        37","         3","       160","        63","       128","         6","-5","17","8.7","2.12","95","7170",,,"7170",,,,,,,,,,,"46.08","112.0","45.4","54.7","36.2",,,,,,,
"USW00014817","CADILLAC, MI US","44.2655","-85.3966","394.7","2013",,,,"       178","        87",,,,,"        85","       124","         4",,,,"3.15","94",,,,,,,,,,,,,,,"37.78",,,"52.7",,,,,,,,
"USC00202783","FIFE LAKE 2 WNW, MI US","44.5848","-85.3653","320.6","2013",,"291","291","       180","       100","      151","        47","        15","       188","        91","       123","         4","-10","20","6.6","3.27","92",,,,,,,,,,,,,,,"42.44","124.7","41.7","51.8","31.6",,,,,,,
"USC00204967","LUPTON 1 S, MI US","44.4199","-84.0232","276.8","2013",,"289","289",,,,,"        28","       203","        81","       130","         8","-12",,,,"96","8200",,,"8200",,,,,,,,,,,,,"42.2","54.0","30.3",,,,,,,
"USC00202423","EAST TAWAS, MI US","44.2838","-83.5036","178.6","2013",,"384","384","       130","        76","       84","        21","        13","       169","        62","       116","         7","-8","16","9.0","2.12","97","7538",,,"7538",,,,,,,,,,,"35.13","62.6","44.2","54.2","34.1",,,,,,,
"USC00207684","SOUTH BOARDMAN 2 W, MI US","44.6391","-85.325","318.8","2013",,,,"       172","       116","      140","        65",,,,,,,"22","8.6","2.69",,"7474",,,"7474",,,,,,,,,,,"47.36","186.1",,,,,,,,,,
"USC00208774","WELLSTON 1 N, MI US","44.2294","-85.9572","235.6","2013",,"476","476","       175","       106","      131","        56","        10","       167","        72","       137","        10","-11","19","9.3","1.53","96","7483",,,"7483",,,,,,,,,,,"43.93","191.3","44.8","55.1","34.4",,,,,,,
"USR0000MDOE","DOE LAKE MICHIGAN, MI US","46.2536","-86.7142","248.4","2013",,"213","213",,,,,"        35","       217","        91","        99","         4","-19",,,,"95","9055",,,"9055",,,,,,,,,,,,,"38.9","50.1","27.6",,,,,,,
