"STATION","NAME","DATE","AWND","CDSD","DSND","DSNW","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00200106","ALGONAC WWTP, MI US","2021",,"852","       37","        14","2","12","10.0","2.50","93","6144",,,,,,,,,,,,,"40.46","30.5","50.9","61.6","40.3",,,,,,,
"USC00203858","HOLLAND, MI US","2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200342","ATLANTA, MI US","2021",,"402",,,"-7",,,,"92","7807",,,,,,,,,,,,,,,"45.1","55.7","34.5",,,,,,,
"US1MIAT0006","MANCELONA 0.5 ESE, MI US","2021",,,,,,,,"2.26",,,,,,,,,,,,,,,"35.29",,,,,,,,,,,
"USC00201675","COLDWATER ST SCHOOL, MI US","2021",,"753","       29","        11","-12","12","6.0","2.50","96","6550",,,,,,,,,,,,,"45.14","19.2","49.7","59.3","40.2",,,,,,,
"USC00204944","LOWELL, MI US","2021",,,,"        14",,,"5.5","3.50",,,,,,,,,,,,,,,"35.67","34.5",,,,,,,,,,
"USC00201435","CLARKSBURG, MI US","2021",,"209","      128","        31","-34","22","8.0","1.27","93","9397",,,,,,,,,,,,,"25.25","89.1","40.6","53.6","27.6",,,,,,,
"USC00202094","DETOUR VILLAGE, MI US","2021",,"270","       95","        20","-5","21","7.0","2.00","88","7875",,,,,,,,,,,,,"27.90","62.0","44.9","52.2","37.5",,,,,,,
"US1MIKN0016","GRAND RAPIDS 2.5 ENE, MI US","2021",,,,,,,,"2.71",,,,,,,,,,,,,,,"38.23",,,,,,,,,,,
"US1MIKN0014","GRANDVILLE 1.3 WSW, MI US","2021",,,"       65","        24",,"14","7.4","1.67",,,,,,,,,,,,,,,"38.20","66.5",,,,,,,,,,
"USC00203188","GLENNIE 2 SE, MI US","2021",,"390","       88","        15","-16","9","5.5","1.78","90",,,,,,,,,,,,,,"27.87","37.8","45.4","56.1","34.6",,,,,,,
"US1MIKN0011","LOWELL 1.4 ESE, MI US","2021",,,,,,,,"2.51",,,,,,,,,,,,,,,"35.62",,,,,,,,,,,
