"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","PSUN","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00200864","BLOOMINGDALE, MI US","2015",,"617","617","       128","        87",,,"        13","       128","        48","       148","         7","-17",,,"2.43","91",,,,,,,,,,,,,,,"39.37",,,"48.9","59.3","38.6",,,,,,,,
"USC00204425","K.I. SAWYER WWTP, MI US","2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00207812","STAMBAUGH 2 SSE, MI US","2015",,"147","147","       141","        77",,,"        51","       205","        86","       104","         0","-35",,,"2.47","89","10739",,,"10739",,,,,,,,,,,"30.86",,,"38.8","51.1","26.5",,,,,,,,
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015","7.4","369","369","       130","        61","       73","        15","        30","       151","        69","       124","         9","-29","14","5.2","0.95","93","8642",,,"8642",,,,,,,,,,,"24.13",,"44.5","44.4","55.2","33.5",,"       230","       230",,,"40.0","61.1",
"US1MILL0001","NORTHPORT 5.0 SSW, MI US","2015",,,,"       146","        75",,,,,,,,,,,"1.88",,,,,,,,,,,,,,,,"27.69",,,,,,,,,,,,,
"USC00202250","DOWAGIAC 1 W, MI US","2015",,"533","533","       142","        85","       74","        22","        16","       124","        55","       139","         3","-13","16","8.2","1.71","90","7270",,,"7270",,,,,,,,,,,"38.43",,"69.3","48.1","57.6","38.6",,,,,,,,
"US1MIIS0005","SHEPHERD 3.7 SSE, MI US","2015",,,,"       115","        67",,,,,,,,,,,"2.83",,,,,,,,,,,,,,,,"35.04",,,,,,,,,,,,,
"US1MICS0002","DOWAGIAC 5.3 NNW, MI US","2015",,,,"       153","        87",,,,,,,,,,,"2.69",,,,,,,,,,,,,,,,"44.30",,,,,,,,,,,,,
"USW00094847","DETROIT METRO AIRPORT, MI US","2015","8.3","865","865","       133","        71","       72","        14","        12","       110","        51","       149","        10","-13","18","13.7","1.39","92","6671",,,"6671",,,,,,,,,,,"30.36",,"50.8","50.8","59.9","41.6",,"       210","       220",,,"40.0","52.1",
"USC00203268","GLADSTONE 4 NW, MI US","2015",,,,"       136","        73",,,,,,,,,,,"1.91",,,,,,,,,,,,,,,,"34.33",,,,,,,,,,,,,
