"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HN01","HN02","HTDD","HX01","HX02","LN01","LN02","LX01","LX02","MN01","MN02","MX01","MX02","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WDFG","WDMV","WSF2","WSF5","WSFG"
"USC00203278","GOODRICH, MI US","42.9163","-83.5097","277.4","2011",,"734","734","       152","        90",,,"         9","       142","        50","       132","        14","-7",,,"5.51","98","7201",,,"7201",,,,,,,,,,,"44.16",,"48.2","58.1","38.3",,,,,,,
"USC00201896","CROSS VILLAGE 1 E, MI US","45.6413","-85.0141","219.8","2011",,"253","253",,,"       70","        19","        11","       152","        71","       100","         0","-20","14","4.8",,"88",,,,,,,,,,,,,,,,"51.2","44.1","52.0","36.1",,,,,,,
"USC00202503","ELLSWORTH 2 ENE, MI US","45.18056","-85.19917","214.0","2011",,,,,,,,,,,,,,,,,,"8212",,,"8212",,,,,,,,,,,,,,,,,,,,,,
"USC00202984","FRANKFORT 2 NE, MI US","44.64822","-86.20986","289.0","2011",,"489","489","       125","        73","       89","        26","         0","       133","        64","       111","         1","3","18","6.5","1.80","90","7060",,,"7060",,,,,,,,,,,"33.73","69.8","46.8","53.9","39.8",,,,,,,
"USC00204130","ISHPEMING WWTP, MI US","46.4911","-87.6894","428.5","2011",,"339","339","       153","        60",,,"        14","       180","        85","       110","        12","-13",,,"2.00","95","8597",,,"8597",,,,,,,,,,,"25.61",,"42.3","52.3","32.2",,,,,,,
"USC00208972","WHITMORE LAKE 1 NW, MI US","42.4355","-83.783","276.1","2011",,"602","602",,,,,"         6","       143","        55","       126","        13","-8",,,,"97","7148",,,"7148",,,,,,,,,,,,,"47.6","57.2","37.9",,,,,,,
"US1MIVB0002","GRAND JUNCTION 1.3 ENE, MI US","42.40925586","-86.04813018","202.7","2011",,,,"       158","        88",,"        30",,,,,,,,"8.0","2.15",,,,,,,,,,,,,,,,"48.13","64.6",,,,,,,,,,
"USC00208293","TROUT LAKE 1 SW, MI US","46.1796","-85.0311","250.9","2011",,"251","251","       140","        76","      102","        32","        19","       175","        74","       109","         0","-23","10","5.5","4.33","87","8486",,,"8486",,,,,,,,,,,"34.84","56.9","43.2","52.5","33.8",,,,,,,
"USC00200417","BAD AXE, MI US","43.808","-82.9938","217.9","2011",,"603","603","       163","        79",,,"         4","       141","        62","       124","         9","-10",,,"2.00","96","7401",,,"7401",,,,,,,,,,,"40.01",,"46.8","55.4","38.1",,,,,,,
"USC00202955","FRANKENMUTH 1 SE, MI US","43.3194","-83.7161","193.5","2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00200779","BIG RAPIDS WATER TREATMENT PLANT, MI US","43.7072","-85.4819","273.7","2011",,"499","499","       153","        73","       80","        19","        19","       163","        63","       118","        10","-16","16","14.0","5.97","94","7824",,,"7824",,,,,,,,,,,"44.74","72.1","45.6","56.0","35.1",,,,,,,
"USC00200770","BIG BAY 1 NW, MI US","46.8325","-87.7504","233.2","2011",,"362","362","       159","        78","      141","        39","         6","       181","        83","        96","         2","-6","20","7.6","2.01","96","8645",,,"8645",,,,,,,,,,,"32.49","109.1","42.8","51.3","34.2",,,,,,,
"US1MIAC0001","MIKADO 2.3 SE, MI US","44.569671","-83.385862","201.8","2011",,,,"       118","        72",,,,,,,,,,,"3.32",,,,,,,,,,,,,,,,"39.44",,,,,,,,,,,
"USC00201502","CHELSEA, MI US","42.3263","-84.0133","274.3","2011",,"777","777","       139","        99",,,"        10","       131","        54","       127","        20","-8",,,"6.15","97","6868",,,"6868",,,,,,,,,,,"54.44",,"48.8","58.2","39.5",,,,,,,
"USW00094815","KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US","42.22826","-85.546","263.3","2011","7.4","844","844","       146","        78",,,"         2","       128","        43","       130","        15","-10",,,"1.81","95","6487",,,"6487",,,,,,,,,,,"36.59",,"50.0","59.0","41.1","       300","       230",,,"38.0","57.9",
