HDD65,CDD65,MFHTBTU,MFCLBTU,MFVNBTU,MFWTBTU,MFLTBTU,MFCKBTU,MFRFBTU,MFOFBTU,MFPCBTU,MFOTBTU,ELHTBTU,ELCLBTU,ELVNBTU,ELWTBTU,ELLTBTU,ELCKBTU,ELRFBTU,ELOFBTU,ELPCBTU,ELOTBTU,NGHTBTU,NGCLBTU,NGWTBTU,NGCKBTU,NGOTBTU,FKHTBTU,FKCLBTU,FKWTBTU,FKCKBTU,FKOTBTU,DHHTBTU,DHCLBTU,DHWTBTU,DHCKBTU,DHOTBTU,MFUSED,DHUSED,DHHT1,DHHT2,DHCOOL,DHCOOK,DHWATR,DHMANU,DHOTH,PUBCLIM
4718,727,64964.0,87922.0,9275.0,62.0,47353.0,0.0,86594.0,22541.0,9184.0,85735.0,0.0,87922.0,9275.0,0.0,47353.0,0.0,86594.0,22541.0,9184.0,85735.0,0.0,0.0,0.0,0.0,0.0,64964.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1170,741,23.0,2489.0,11143.0,0.0,5668.0,0.0,615.0,2440.0,780.0,5759.0,23.0,2489.0,11143.0,0.0,5668.0,0.0,615.0,2440.0,780.0,5759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2285,2180,97785.0,21335.0,52902.0,0.0,57533.0,0.0,62653.0,259.0,0.0,39323.0,0.0,21335.0,52902.0,0.0,57533.0,0.0,62653.0,259.0,0.0,39323.0,97785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
6104,470,678703.0,95933.0,401752.0,67097.0,247297.0,0.0,0.0,78355.0,1281831.0,250475.0,21022.0,95933.0,401752.0,0.0,247297.0,0.0,0.0,78355.0,1281831.0,223392.0,657681.0,0.0,67097.0,0.0,0.0,0.0,0.0,0.0,0.0,27083.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4201,1174,13721444.0,3532202.0,4697848.0,7154834.0,2728812.0,2551894.0,2871727.0,2058840.0,1584497.0,6748751.0,273992.0,3532202.0,4697848.0,491624.0,2728812.0,893911.0,2871727.0,2058840.0,1584497.0,3993858.0,13447452.0,0.0,6663210.0,1657983.0,2034930.0,0.0,0.0,0.0,0.0,719963.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
3555,1774,19965.0,23008.0,31045.0,6900.0,15345.0,188600.0,93222.0,2525.0,0.0,20165.0,19965.0,23008.0,31045.0,6900.0,15345.0,0.0,93222.0,2525.0,0.0,20165.0,0.0,0.0,0.0,188600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2262,2215,202846.0,17619.0,30002.0,548.0,24339.0,0.0,1596.0,24148.0,42072.0,21698.0,1843.0,17619.0,30002.0,548.0,24339.0,0.0,1596.0,24148.0,42072.0,21698.0,201003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2187,2041,4794.0,105169.0,160426.0,18022.0,34487.0,64703.0,344084.0,28663.0,21911.0,83032.0,4494.0,105169.0,160426.0,0.0,34487.0,0.0,344084.0,28663.0,21911.0,83032.0,300.0,0.0,18022.0,64703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
7700,184,1782326.0,1144749.0,1796876.0,328.0,984981.0,0.0,114952.0,363390.0,253735.0,3264005.0,0.0,1144749.0,1796876.0,0.0,984981.0,0.0,114952.0,363390.0,253735.0,3264005.0,0.0,0.0,0.0,0.0,0.0,1782326.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5224,942,3625589.0,272072.0,1018329.0,269834.0,768794.0,335250.0,260640.0,141003.0,1041881.0,558521.0,0.0,272072.0,1018329.0,0.0,768794.0,42215.0,260640.0,141003.0,1041881.0,558521.0,3625589.0,0.0,269834.0,293035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
